LoanAmount,Loan_Amount_Term,Credit_History,TotalIncome,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Loan_ID,source,Loan_Status
113.0,360.0,1.0,5849.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001002,train,Y
128.0,360.0,1.0,6091.0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,LP001003,train,N
66.0,360.0,1.0,3000.0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,LP001005,train,Y
120.0,360.0,1.0,4941.0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,LP001006,train,Y
141.0,360.0,1.0,6000.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001008,train,Y
267.0,360.0,1.0,9613.0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,LP001011,train,Y
95.0,360.0,1.0,3849.0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,LP001013,train,Y
158.0,360.0,0.0,5540.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,LP001014,train,N
168.0,360.0,1.0,5532.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001018,train,Y
349.0,360.0,1.0,23809.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,LP001020,train,N
70.0,360.0,1.0,3900.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001024,train,Y
109.0,360.0,1.0,4340.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001027,train,Y
200.0,360.0,1.0,11179.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001028,train,Y
114.0,360.0,1.0,4693.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001029,train,N
17.0,120.0,1.0,2385.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001030,train,Y
125.0,360.0,1.0,4950.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001032,train,Y
100.0,240.0,1.0,3596.0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,LP001034,train,Y
76.0,360.0,0.0,3510.0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001036,train,N
133.0,360.0,1.0,4887.0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,LP001038,train,N
115.0,360.0,1.0,6100.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001041,train,Y
104.0,360.0,0.0,7660.0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,LP001043,train,N
315.0,360.0,1.0,11580.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001046,train,Y
116.0,360.0,0.0,4511.0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,LP001047,train,N
112.0,360.0,0.0,5282.0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,LP001050,train,N
151.0,360.0,1.0,6642.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,LP001052,train,N
191.0,360.0,1.0,9560.0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,LP001066,train,Y
122.0,360.0,1.0,5052.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001068,train,Y
110.0,360.0,1.0,5266.0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,LP001073,train,Y
35.0,360.0,1.0,1442.0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,LP001086,train,N
120.0,360.0,1.0,5833.0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,LP001087,train,Y
201.0,360.0,1.0,7535.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001091,train,N
74.0,360.0,1.0,3167.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001095,train,N
106.0,360.0,1.0,4692.0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,LP001097,train,N
114.0,360.0,1.0,5167.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001098,train,Y
320.0,360.0,1.0,15500.0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,LP001100,train,N
132.0,360.0,1.0,4342.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001106,train,Y
100.0,360.0,0.0,3158.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001109,train,N
144.0,360.0,1.0,5126.0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001112,train,Y
184.0,360.0,1.0,11376.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001114,train,Y
110.0,360.0,1.0,5416.0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,LP001116,train,Y
80.0,360.0,1.0,3600.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001119,train,N
47.0,360.0,1.0,3013.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001120,train,Y
75.0,360.0,1.0,2400.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001123,train,Y
134.0,360.0,1.0,6277.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001131,train,Y
96.0,360.0,1.0,4695.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,LP001136,train,Y
88.0,360.0,1.0,3410.0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001137,train,Y
44.0,360.0,1.0,5649.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001138,train,Y
144.0,360.0,1.0,5821.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001144,train,Y
120.0,360.0,0.0,6085.0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001146,train,N
144.0,360.0,1.0,6275.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001151,train,Y
100.0,360.0,1.0,3572.0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,LP001155,train,Y
120.0,360.0,1.0,3086.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001157,train,Y
112.0,360.0,1.0,4230.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001164,train,N
134.0,360.0,1.0,4616.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001179,train,N
286.0,360.0,0.0,11500.0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,LP001186,train,N
97.0,360.0,1.0,3875.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,LP001194,train,Y
96.0,360.0,1.0,3723.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001195,train,Y
135.0,360.0,1.0,5566.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001197,train,N
180.0,360.0,1.0,10330.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001198,train,Y
144.0,360.0,1.0,6216.0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,LP001199,train,Y
120.0,360.0,1.0,6296.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001205,train,Y
99.0,360.0,1.0,3029.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,LP001206,train,Y
165.0,180.0,0.0,6058.0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,LP001207,train,N
146.0,360.0,0.0,4945.0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,LP001213,train,N
116.0,360.0,0.0,4166.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001222,train,N
258.0,360.0,1.0,10321.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001225,train,N
126.0,180.0,0.0,5454.0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,LP001228,train,N
312.0,360.0,1.0,10750.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001233,train,Y
125.0,60.0,1.0,7100.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,LP001238,train,Y
136.0,360.0,0.0,4300.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001241,train,N
172.0,360.0,1.0,6274.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001243,train,Y
97.0,360.0,1.0,3750.0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,LP001245,train,Y
81.0,300.0,1.0,3500.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001248,train,Y
95.0,360.0,0.0,4755.0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,LP001250,train,N
187.0,360.0,1.0,7040.0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,LP001253,train,Y
113.0,480.0,1.0,3750.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001255,train,N
176.0,360.0,1.0,8500.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001256,train,N
110.0,360.0,1.0,4022.0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,LP001259,train,N
180.0,300.0,0.0,7167.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,LP001263,train,N
130.0,360.0,1.0,5499.0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,LP001264,train,Y
111.0,360.0,1.0,3846.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001265,train,Y
160.0,360.0,1.0,2395.0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,LP001266,train,Y
167.0,360.0,1.0,3259.0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001267,train,N
265.0,360.0,1.0,8250.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001273,train,N
50.0,240.0,1.0,3988.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001275,train,Y
136.0,360.0,1.0,4897.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001279,train,Y
99.0,360.0,1.0,5333.0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,LP001280,train,Y
104.0,360.0,1.0,4618.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001282,train,Y
210.0,360.0,1.0,8566.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001289,train,Y
175.0,360.0,1.0,9862.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001310,train,Y
131.0,360.0,1.0,5858.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001316,train,Y
188.0,180.0,1.0,11904.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,LP001318,train,Y
81.0,360.0,1.0,5093.0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,LP001319,train,Y
122.0,360.0,1.0,4133.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001322,train,Y
25.0,120.0,1.0,3620.0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,LP001325,train,Y
113.0,360.0,1.0,6782.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001326,train,N
137.0,360.0,1.0,4786.0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001327,train,Y
50.0,360.0,1.0,2974.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001333,train,Y
115.0,180.0,1.0,4188.0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,LP001334,train,Y
131.0,360.0,1.0,5300.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001343,train,Y
133.0,180.0,1.0,7551.0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,LP001345,train,Y
151.0,360.0,1.0,8649.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001349,train,Y
132.0,360.0,1.0,13650.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001350,train,Y
135.5,360.0,1.0,8235.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001356,train,Y
160.0,360.0,1.0,4570.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001357,train,Y
100.0,360.0,1.0,4082.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001367,train,Y
225.0,360.0,1.0,12543.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001369,train,Y
120.0,360.0,1.0,7333.0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,LP001370,train,N
216.0,360.0,0.0,7400.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001379,train,N
94.0,480.0,1.0,2825.0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,LP001384,train,Y
136.0,360.0,1.0,5316.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001385,train,Y
139.0,360.0,1.0,5262.0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001387,train,Y
152.0,360.0,0.0,7686.0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,LP001391,train,N
120.5,360.0,1.0,7451.0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,LP001392,train,Y
118.0,360.0,1.0,5050.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001398,train,Y
185.0,180.0,1.0,14583.0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,LP001401,train,Y
154.0,360.0,1.0,5450.0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001404,train,Y
85.0,360.0,1.0,3612.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001405,train,Y
175.0,360.0,1.0,7710.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001421,train,N
259.0,360.0,1.0,10408.0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001422,train,Y
180.0,360.0,1.0,8334.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001426,train,Y
44.0,360.0,1.0,4166.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001430,train,Y
137.0,360.0,0.0,11117.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001431,train,Y
81.0,360.0,1.0,2957.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,LP001432,train,Y
194.0,360.0,1.0,6314.0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,LP001439,train,Y
93.0,360.0,1.0,3692.0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001443,train,Y
370.0,360.0,1.0,23803.0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,LP001448,train,Y
136.0,360.0,1.0,5505.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001449,train,Y
160.0,180.0,0.0,14363.0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,LP001451,train,N
182.0,360.0,1.0,8649.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001465,train,N
650.0,480.0,1.0,20166.0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,LP001469,train,Y
74.0,360.0,1.0,3943.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001473,train,Y
70.0,360.0,1.0,2718.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001478,train,Y
25.0,120.0,1.0,3459.0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,LP001482,train,Y
102.0,360.0,1.0,4895.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001487,train,Y
290.0,360.0,1.0,11750.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,LP001488,train,N
84.0,360.0,1.0,4583.0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001489,train,N
88.0,360.0,1.0,6816.0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,LP001491,train,Y
242.0,360.0,0.0,14999.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001492,train,N
129.0,360.0,1.0,5630.0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,LP001493,train,N
185.0,360.0,1.0,7125.0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,LP001497,train,N
168.0,360.0,1.0,5417.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001498,train,Y
175.0,180.0,1.0,6950.0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,LP001504,train,Y
122.0,360.0,1.0,4732.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001507,train,Y
187.0,180.0,1.0,11757.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001508,train,Y
100.0,360.0,1.0,6816.0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001514,train,Y
70.0,360.0,1.0,14866.0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001516,train,Y
30.0,360.0,1.0,2963.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001518,train,Y
225.0,360.0,1.0,11666.0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001519,train,N
125.0,360.0,1.0,5690.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001520,train,Y
118.0,360.0,0.0,6277.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001528,train,N
152.0,360.0,1.0,6327.0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,LP001529,train,Y
244.0,360.0,1.0,9166.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001531,train,N
113.0,360.0,1.0,2281.0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,LP001532,train,N
50.0,360.0,1.0,3254.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001535,train,Y
600.0,180.0,0.0,39999.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,LP001536,train,Y
160.0,360.0,1.0,6000.0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,LP001541,train,Y
187.0,360.0,1.0,9538.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001543,train,Y
120.0,360.0,1.0,5063.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001546,train,Y
255.0,360.0,1.0,10208.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001552,train,Y
98.0,360.0,1.0,2904.0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,LP001560,train,Y
275.0,360.0,1.0,7933.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001562,train,N
121.0,360.0,0.0,4369.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,LP001565,train,N
158.0,360.0,1.0,5614.0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,LP001570,train,Y
75.0,180.0,1.0,9323.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001572,train,Y
182.0,360.0,1.0,6873.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001574,train,Y
112.0,360.0,1.0,4583.0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001577,train,N
129.0,360.0,1.0,5772.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001578,train,Y
63.0,480.0,0.0,2237.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001579,train,N
200.0,360.0,1.0,8000.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,LP001580,train,Y
95.0,360.0,1.0,3589.0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,LP001581,train,Y
700.0,300.0,1.0,51763.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,LP001585,train,Y
81.0,180.0,1.0,3522.0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,LP001586,train,N
187.0,360.0,1.0,11333.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001594,train,Y
87.0,360.0,1.0,5080.0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,LP001603,train,N
116.0,360.0,1.0,5461.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001606,train,Y
101.0,360.0,1.0,3664.0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,LP001608,train,Y
495.0,360.0,0.0,16816.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,LP001610,train,N
116.0,360.0,1.0,3750.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,LP001616,train,Y
102.0,480.0,0.0,3784.0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,LP001630,train,N
180.0,360.0,0.0,13650.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001633,train,N
67.0,360.0,1.0,6979.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001634,train,N
73.0,180.0,1.0,4600.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001636,train,Y
260.0,360.0,1.0,33846.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,LP001637,train,N
108.0,360.0,1.0,3625.0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001639,train,Y
120.0,360.0,1.0,43897.0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,LP001640,train,Y
66.0,300.0,0.0,2178.0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,LP001641,train,N
58.0,360.0,1.0,4521.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001643,train,Y
168.0,360.0,1.0,5970.0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,LP001644,train,Y
188.0,180.0,1.0,9328.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001647,train,Y
